iter	Passed	Remaining
0	61	6113
1	63	3128
2	66	2135
3	68	1640
4	70	1345
5	73	1144
6	75	999
7	77	892
8	80	809
9	82	740
10	84	682
11	86	636
12	89	599
13	91	562
14	93	531
15	96	504
16	98	480
17	100	458
18	102	437
19	105	420
20	107	403
21	109	387
22	111	373
23	113	360
24	115	347
25	117	335
26	120	325
27	122	315
28	124	305
29	130	303
30	132	294
31	134	286
32	136	277
33	139	269
34	141	262
35	143	255
36	146	248
37	148	241
38	150	235
39	152	228
40	154	222
41	157	216
42	159	211
43	161	205
44	163	200
45	165	194
46	167	189
47	170	184
48	172	179
49	174	174
50	176	169
51	179	165
52	181	161
53	188	160
54	195	159
55	198	155
56	201	151
57	204	148
58	207	143
59	209	139
60	211	135
61	213	130
62	218	128
63	220	124
64	222	119
65	224	115
66	226	111
67	229	107
68	231	104
69	234	100
70	236	96
71	238	92
72	240	89
73	242	85
74	244	81
75	247	78
76	249	74
77	251	70
78	253	67
79	255	63
80	257	60
81	260	57
82	262	53
83	264	50
84	266	47
85	268	43
86	270	40
87	272	37
88	274	33
89	277	30
90	279	27
91	281	24
92	283	21
93	285	18
94	288	15
95	290	12
96	292	9
97	294	6
98	296	2
99	298	0
